sn,category,question,answer
1,general,"According to Hebrews 9:2, A tabernacle was set up. In its first room were the lampstand and the table with its consecrated bread, what is this place/room called?",the Holy Place
2,general,"According to Hebrews 5:1, Every high priest is selected from among the people and is appointed to represent the people in matters related to God, to do what?",to offer gifts and sacrifices for sins
3,general,"According to Hebrews 6:13, When God made his promise to Abraham, he swore by himself, why did he swear by himself?",there was no one greater for him to swear by
4,general,"According to Hebrews 8:11, No longer will they teach their neighbor, or say to one another, ‘Know the Lord,’ why is this?","because they will all know me, (from the least of them to the greatest)"
5,general,"According to Hebrews 3:3, Jesus has been found worthy of greater honor than Moses, just as what?",just as the builder of a house has greater honor than the house itself.
6,general,"According to Hebrews 5:5, In the same way, Christ did not take on himself the glory of becoming a high priest. But God said what to him?",“You are my Son; today I have become your Father.”
7,general,"According to Hebrews 4:9, which kind of rest remains for the people of God?",Sabbath-rest
8,general,"According to Hebrews 7:1, how was Melchizedek described?",king of Salem and priest of God Most High
9,general,"According to Hebrews 9:7, only one person enters the inner room, who is the person and how often do they enter?","only the high priest entered the inner room, and that only once a year"
10,general,"According to Hebrews 2:3, ""This salvation"" was first announced by who and was confirmed to us by who?",by the Lord; by those who heard him
11,general,"According to Hebrews 7:2, what does the name king of Salem mean?",king of peace
12,general,"According to Hebrews 7:18, why was the former regulation set aside?",because it was weak and useless
13,general,"According to Hebrews 7:24, why does Jesus have a permanent priesthood?",because Jesus lives forever
14,general,"According to Hebrews 9:1, what are the components of the first covenant?",regulations for worship and (also) an earthly sanctuary.
15,general,"According to Hebrews 4:14, what are we admonished to do, since we have a great high priest who has ascended into heaven, Jesus the Son of God?",(let us) hold firmly to the faith we profess.
16,general,"According to Hebrews 10:12, when this priest had offered for all time one sacrifice for sins, where did he sit?",he sat down at the right hand of God
17,general,"According to Hebrews 6:11, We want each of you to show this same diligence to the very end, why?",so that what you hope for may be fully realized
18,general,"According to Hebrews 10:4, what is it impossible for the blood of bulls and goats to do?",It is impossible for the blood of bulls and goats to take away sins
19,general,"According to Hebrews 12:29, how was God described?",God is a consuming fire.
20,general,"According to Hebrews 10:31, It is a dreadful thing to fall into whose hands?",the hands of the living God.
21,general,"According to Hebrews 9:12, by what did Christ enter the Most Holy place?",by his own blood
22,general,"According to Hebrews 13:11, The high priest carries the blood of animals into the Most Holy Place as a sin offering, but where are the bodies burned?",outside the camp.
23,general,"According to Hebrews 7:10, when Melchizedek met Abraham, where was Levi?",Levi was still in the body of his ancestor
24,general,"According to Hebrews 8:13, what will happen to what is obsolete and outdated?",it (what is obsolete and outdated) will soon disappear
25,general,"According to Hebrews 5:7, when Jesus offered prayers and petitions with fervent cries and tears, why was he heard?",he was heard because of his reverent submission
26,general,"According to Hebrews 9:28, why will Christ appear the second time/what will he come to do?",to bring salvation to those who are waiting for him
27,general,"According to Hebrews 5:13, Anyone who lives on milk, being still an infant, is not acquainted with what?",with the teaching about righteousness
28,general,"According to Hebrews 3:4, For every house is built by someone, but God is what?",the builder of everything.
29,general,"According to Hebrews 5:2-3, why does he (the high priest) have to offer sacrifices for his own sins?",(since) he himself is subject to weakness
30,general,"According to Hebrews 11:6, what is it impossible to do without faith?",without faith it is impossible to please God
31,general,"According to Hebrews 9:5, what were above the ark overshadowing the atonement cover?",the cherubim of the Glory
32,general,"According to Hebrews 5:7, During the days of Jesus’ life on earth, he offered up prayers and petitions with fervent cries and tears to who?",to the one who could save him from death
33,general,"According to Hebrews 11:1, how was faith defined?",faith is confidence in what we hope for and assurance about what we do not see.
34,general,"According to Hebrews 5:11, ""We have much to say about this, but it is hard to make it clear to you..."" why?",because you no longer try to understand
35,general,"Hebrews 10:23 admonishes us to hold unswervingly to the hope we profess, why?",(for) he who promised is faithful
36,general,"According to Hebrews 3:2, He (Jesus) was faithful to the one who appointed him, just as who was faithful in all God's house?",Moses
37,general,"According to Hebrews 7:12, when the priesthood is changed, what must happen as a consequence?",the law must be changed also
38,general,"According to Hebrews 10:19, by what do we have confidence to enter the Most Holy Place?",by the blood of Jesus
39,general,"According to Hebrews 3:6, we are his (Christ's) house if indeed we hold firmly to our what?",our confidence and the hope in which we glory
40,general,"According to Hebrews 9:3, Behind the second curtain was a room, what is this room called?",the Most Holy Place
41,general,"According to Hebrews 5:6, in whose order was Christ a priest forever?",in the order of Melchizedek
42,general,"According to Hebrews 6:9, Even though we speak like this, dear friends, we are convinced of better things in your case, what things?",the things that have to do with salvation
43,general,"According to Hebrews 4:2, ""For we also have had the good news proclaimed to us, just as they did; but the message they heard was of no value to them,"" why?",because they did not share the faith of those who obeyed.
44,general,"According to Hebrews 1:2, what has God appointed his son as and what did he make through him?",whom he appointed heir of all things; through whom also he made the universe
45,general,"According to Hebrews 12:10, God disciplines us for our good, in order that what?",in order that we may share in his holiness.
46,general,"According to Hebrews 7:3, who was described as: ""Without father or mother, without genealogy, without beginning of days or end of life, resembling the Son of God, he remains a priest forever.""",Melchizedek
47,general,"According to Hebrews 12:11, who are those that discipline produces a harvest of righteousness and peace for?",for those who have been trained by it
48,general,"According to Hebrews 10:18, And where these (sins and lawless acts) have been forgiven, what is no longer necessary?",sacrifice for sin is no longer necessary
49,general,"According to Hebrews 6:4-6, what is impossible for those who have once been enlightened, who have tasted the heavenly gift, who have shared in the Holy Spirit, who have tasted the goodness of the word of God and the powers of the coming age and who have fallen away?",to be brought back to repentance
50,general,"According to Hebrews 7:2, how much did Abraham give Melchizedek?",a tenth of everything
51,general,"According to Hebrews 8:1, where was the high priest seated?",at the right hand of the throne of the Majesty in heaven
52,general,"According to Hebrews 7:14, our Lord descended from who/where?",our Lord descended from Judah
53,general,"According to Hebrews 8:7, why was another covenant sought?","For if there had been nothing wrong with that first covenant, no place would have been sought for another."
54,general,"According to Hebrews 4:3, his (God's) work have been finished since when?",And yet his works have been finished since the creation of the world.
55,general,"According to Hebrews 13:6, what do we say with confidence?",The Lord is my helper; I will not be afraid. What can mere mortals do to me?
56,general,"According to Hebrews 10:28, Anyone who rejected the law of Moses died without mercy on the testimony of how many witnesses?",two or three witnesses
57,general,"According to Hebrews 7:5, what does the law require the descendants of Levi who become priests to do?",to collect a tenth from the people
58,general,"According to Hebrews 6:15, after waiting patiently, what did Abraham receive?",Abraham received what was promised
59,general,What's the last statement in the last verse of the book of Hebrews?,Grace be with you all.
60,general,"According to Hebrews 12:2, how was Jesus described?",pioneer and perfecter of faith
61,general,"According to Hebrews 2:11, Both the one who makes people holy and those who are made holy are of the same what?",family
62,general,"According to Hebrews 1:6: ""And again, when God brings his first born into the world,..."" he says what?","""Let all God's angels worship him."""
63,general,"According to Hebrews 1:14, what are angels and what are they sent to do?",ministering spirits; sent to serve those who will inherit salvation
64,general,"According to Hebrews 9:16-17, In the case of a will, it is necessary to prove the death of the one who made it, why?",because a will is in force only when somebody has died; it never takes effect while the one who made it is living
65,general,"According to Hebrews 4:3, what happens to we who have believed?",Now we who have believed enter that rest
66,general,"According to Hebrews 4:4, For somewhere he has spoken about the seventh day in these words: what are those words?",“On the seventh day God rested from all his works.”
67,general,"According to Hebrews 4:15, what did the high priest not do even though he has been tempted in every way, just as we are?",he did not sin
68,general,"According to Hebrews 6:10, what is the justification/assurance that he (God) will not forget your work and the love you have shown him as you have helped his people and continue to help them?",God is not unjust
69,general,"According to Hebrews 6:14, what was God's promise to Abraham?",I will surely bless you and give you many descendants.
70,general,"According to Hebrews 7:2, what does the name Melchizedek mean?",king of righteousness
71,general,"According to Hebrews 2:1, why must we pay the most careful attention to what we have heard?",so that we do not drift away
72,general,"According to Hebrews 4:8, if Joshua had given them rest, what would God not have done?",God would not have spoken later about another day.
73,recitation,Recitation Round,"📖 RECITATION ROUND — RULES & INSTRUCTIONS\n\n1. Participants take turns, one after the other, to recite any verse from the Book of Hebrews of their choice.\n\n2. No verse may be repeated. Once a verse has been recited, it cannot be used again by any participant.\n\n3. When it is a participant's turn, they have 5 seconds to begin reciting.\n\n4. A participant is disqualified if they: fail to begin within 5 seconds, recite a verse incorrectly, or repeat a verse already used.\n\n5. Each correct and complete recitation earns 5 marks.\n\n6. The round continues in turns until all participants have been disqualified.\n\n7. No assistance, prompts, or corrections are allowed during recitation."
74,fill,"Fill in the gaps (Hebrews 12:1): Therefore, since we are surrounded by such a great cloud of __________, let us throw off everything that __________ and the sin that so easily entangles. And let us run with __________ the race marked out for us",witnesses; hinders; perseverance
75,fill,"Fill in the gaps (Hebrews 3:1): Therefore, holy brothers and sisters, who share in the __________ calling, fix your thoughts on Jesus, whom we acknowledge as our __________ and __________.",heavenly; apostle; high priest
76,fill,Fill in the gaps (Hebrews 9:8): The Holy Spirit was showing by this that the way into the Most __________ Place had not yet been __________ as long as the first __________ was still functioning.,Holy; disclosed; tabernacle
77,fill,"Fill in the gaps (Hebrews 2:10): In bringing many __________ and daughters to glory, it was fitting that God, for whom and through whom __________ exists, should make the pioneer of their salvation perfect through what he __________.",sons; everything; suffered
78,fill,"Fill in the gaps (Hebrews 6:1): Therefore let us move beyond the __________ teachings about Christ and be taken forward to __________, not laying again the foundation of repentance from acts that lead to __________, and of faith in God,...",elementary; maturity; death
79,fill,"Fill in the gaps (Hebrews 8:10): This is the covenant I will __________ with the people of Israel after that time, declares the Lord. I will put my laws in their __________ and write them on their __________. I will be their God, and they will be my people.",establish; minds; hearts
80,fill,"Fill in the gaps (Hebrews 9:22): the law requires that nearly everything be __________ with blood, and without the __________ of blood there is no __________.",cleansed; shedding; forgiveness
81,fill,Fill in the gaps (Hebrews 11:20): By faith __________ blessed __________ and __________ in regard to their future.,Isaac; Jacob; Esau
82,fill,"Fill in the gaps (Hebrews 4:16): Let us then approach God’s throne of grace with __________, so that we may receive mercy and find __________ to help us in our time of __________.",confidence; grace; need
83,fill,"Fill in the gaps (Hebrews 8:3): Every high priest is __________ to offer both gifts and __________, and so it was necessary for this one also to have __________ to offer.",appointed; sacrifices; something
84,fill,"Fill in the gaps (Hebrews 11): By faith __________ brought God a better offering... By faith __________ was taken from this life... By faith __________, when his end was near, spoke about the exodus of the Israelites from Egypt and gave instructions concerning the burial of his bones.",Abel; Enoch; Joseph
85,fill,"Fill in the gaps (Hebrews 6:12): We do not want you to become __________, but to imitate those who through faith and __________ inherit what has been __________.",lazy; patience; promised
86,fill,Fill in the gaps (Hebrews 1:4): So he (Jesus) became as much superior to the angels as __________ is superior to theirs.,the name he has inherited
87,fill,"Fill in the gaps (Hebrews 7:15-16): And what we have said is even more clear if another __________ like Melchizedek appears, one who has become a priest not on the basis of a __________ as to his ancestry but on the basis of the power of an __________ life.",priest; ancestry; indestructible
88,fill,"Fill in the gaps (Hebrews 1:8): But about the Son he says, ""Your __________, O God, will last for ever and ever; a scepter of __________ will be the scepter of your __________.""",throne; justice; kingdom
89,fill,"Fill in the gaps (Hebrews 10:1): The law is only a __________ of the good things that are coming—not the realities themselves. For this reason it can never, by the same __________ repeated endlessly year after year, make perfect those who draw near to __________.",shadow; sacrifices; worship
90,fill,"Fill in the gaps (Hebrews 5:8-10): Son though he was, he learned obedience from what he __________ and, once made perfect, he became the source of __________ salvation for all who obey him and was designated by God to be high priest in the order of __________.",suffered; eternal; Melchizedek
91,fill,"Fill in the gaps (Hebrews 5:14): But solid food is for the __________, who by constant use have __________ themselves to __________ good from evil.",mature; trained; distinguish
92,fill,Fill in the gaps (Hebrews 1:1): In the past God spoke to our __________ through the __________ at many times and in various ways,ancestors; prophets
93,fill,"Fill in the gaps (Hebrews 2:2): For since the message spoken through __________ was binding, and every __________ and __________ received its just punishment",angels; violation; disobedience
94,fill,"Fill in the gaps (Hebrews 4:12): For the word of God is alive and __________. Sharper than any double-edged sword, it __________ even to dividing soul and spirit, joints and marrow; it __________ the thoughts and attitudes of the heart.",active; penetrates; judges
95,tof,"True or False?: According to Hebrews 3:9, they were not able to enter, because of their disobedience.",FALSE — they were not able to enter because of their unbelief.
96,tof,"True or False?: According to Hebrews 8:8, God found fault with the first covenant.",FALSE — But God found fault with the people and said...
97,tof,"True or False?: According to Hebrews 10:11, Day after day every priest stands and performs his religious duties; again and again he offers the same sacrifices, which can never take away sins.",TRUE
98,tof,"True or False?: According to Hebrews 7:5, the law requires the descendants of Levi who become priests to collect a certain portion from the people because they are not descended from Abraham.","FALSE — the law requires them to collect a tenth from their fellow Israelites, even though they also are descended from Abraham."
99,tof,"True or False?: According to Hebrews 13:8, Jesus Christ is the same yesterday and today and forever.",TRUE
100,tof,"True or False?: According to Hebrews 3:5, Moses was bearing witness to what was spoken by God in the past and present.","FALSE — Moses was faithful as a servant, bearing witness to what would be spoken by God in the future."
101,tof,"True or False?: According to Hebrews 7:14, in regard to that tribe (Judah) Moses said nothing about priests.",TRUE
102,tof,"True or False?: According to Hebrews 1:3, Before the foundations of the world were laid, he (Jesus) sat down at the right hand of the Majesty in heaven.","FALSE — After he had provided purification for sins, he sat down at the right hand of the Majesty in heaven."
103,tof,"True or False?: According to Hebrews 2:9, Jesus was made a little lower than the angels for a little while.","TRUE — we see Jesus, who was made lower than the angels for a little while, now crowned with glory and honor because he suffered death, so that by the grace of God he might taste death for everyone."
104,golden,What book comes before the book of Hebrews?,Philemon
105,golden,What is the most common word (noun) in Hebrews 11?,Faith
106,golden,What book comes after the book of Hebrews?,James
107,golden,Mention ten (10) of the names mentioned in Hebrews 11.,"ABEL, CAIN, ENOCH, NOAH, ISAAC, JACOB, SARAH, ESAU, JOSEPH, MOSES, PHARAOH, RAHAB, GIDEON, BARAK, SAMSON, JEPHTHAH, DAVID, SAMUEL, ABRAHAM (any ten)"
108,golden,How many days did the army march around the walls of Jericho before it fell?,Seven (7) days
109,golden,"Two females were mentioned in the book of Hebrews, mention them.",Sarah; Rahab
110,golden,Who is the writer of the book of Hebrews?,Not stated / unknown
111,golden,Which word is the most common starting word for the chapters in the book of Hebrews?,Therefore
112,golden,"""By his faith he condemned the world and became heir of the righteousness that is in keeping with faith."" (Hebrews 11:7) — Who was this spoken about?",Noah
113,golden,What is the longest chapter by number of verses in the book of Hebrews?,Hebrews 11
114,golden,What is the shortest chapter by number of verses in the book of Hebrews?,Hebrews 13 (verify against your NIV — chapter 13 has 25 verses)
115,golden,How many verses are in the book of Hebrews?,303
116,golden,How many chapters are in the book of Hebrews?,13
117,golden,"""He chose to be mistreated along with the people of God rather than to enjoy the fleeting pleasures of sin."" (Hebrews 11:25) — Who was this about?",Moses
